OBS_DATE,VMT,VMT_D11,,
Jan-00,"203,442","227,235",,
Feb-00,"199,261","228,727",,
Mar-00,"232,490","230,237",,
Apr-00,"227,698","229,068",,
May-00,"242,501","229,651",,
Jun-00,"242,963","230,024",,
Jul-00,"245,140","228,840",,
Aug-00,"247,832","229,339",,
Sep-00,"227,899","231,166",,
Oct-00,"236,491","230,372",,
Nov-00,"222,819","229,865",,
Dec-00,"218,390","224,132",,
Jan-01,"209,685","231,442",,
Feb-01,"200,876","230,672",,
Mar-01,"232,587","231,165",,
Apr-01,"232,513","232,994",,
May-01,"245,357","232,201",,
Jun-01,"243,498","231,645",,
Jul-01,"250,363","232,941",,
Aug-01,"253,274","233,413",,
Sep-01,"226,312","232,276",,
Oct-01,"241,050","233,772",,
Nov-01,"230,511","236,644",,
Dec-01,"229,584","236,694",,
Jan-02,"215,215","236,712",,
Feb-02,"208,237","238,125",,
Mar-02,"236,070","235,504",,
Apr-02,"237,226","236,391",,
May-02,"251,746","237,506",,
Jun-02,"247,868","238,073",,
Jul-02,"256,392","237,780",,
Aug-02,"258,666","239,615",,
Sep-02,"233,625","239,653",,
Oct-02,"245,556","237,938",,
Nov-02,"230,648","238,385",,
Dec-02,"234,260","239,969",,
Jan-03,"218,534","239,077",,
Feb-03,"203,677","233,578",,
Mar-03,"236,679","236,830",,
Apr-03,"239,415","238,036",,
May-03,"253,244","239,910",,
Jun-03,"252,145","241,491",,
Jul-03,"262,105","243,389",,
Aug-03,"260,687","242,803",,
Sep-03,"237,451","243,182",,
Oct-03,"254,048","245,423",,
Nov-03,"233,698","243,497",,
Dec-03,"238,538","243,315",,
Jan-04,"222,450","243,817",,
Feb-04,"213,709","244,576",,
Mar-04,"251,403","248,689",,
Apr-04,"250,968","248,376",,
May-04,"257,235","246,159",,
Jun-04,"257,383","245,171",,
Jul-04,"265,969","247,686",,
Aug-04,"262,836","247,344",,
Sep-04,"243,515","247,916",,
Oct-04,"254,496","247,883",,
Nov-04,"239,796","247,656",,
Dec-04,"245,029","248,685",,
Jan-05,"224,072","247,614",,
Feb-05,"219,970","250,015",,
Mar-05,"253,182","249,174",,
Apr-05,"250,860","249,024",,
May-05,"262,678","250,452",,
Jun-05,"263,816","251,531",,
Jul-05,"267,025","250,663",,
Aug-05,"265,323","249,458",,
Sep-05,"242,240","245,820",,
Oct-05,"251,419","245,957",,
Nov-05,"243,056","250,704",,
Dec-05,"245,787","250,380",,
Jan-06,"233,282","255,482",,
Feb-06,"220,711","250,785",,
Mar-06,"256,623","250,866",,
Apr-06,"250,644","250,631",,
May-06,"263,370","250,030",,
Jun-06,"263,782","250,453",,
Jul-06,"263,421","249,092",,
Aug-06,"265,206","249,501",,
Sep-06,"245,605","250,388",,
Oct-06,"257,939","251,413",,
Nov-06,"245,346","252,836",,
Dec-06,"248,187","253,944",,
Jan-07,"233,621","254,533",,
Feb-07,"219,232","249,391",,
Mar-07,"259,638","254,292",,
Apr-07,"252,595","251,375",,
May-07,"267,574","254,131",,
Jun-07,"265,374","253,200",,
Jul-07,"267,106","252,333",,
Aug-07,"271,225","254,221",,
Sep-07,"245,965","253,290",,
Oct-07,"261,423","253,767",,
Nov-07,"245,787","252,121",,
Dec-07,"240,281","247,460",,
Jan-08,"232,920","253,376",,
Feb-08,"221,336","250,551",,
Mar-08,"252,343","248,981",,
Apr-08,"252,088","249,101",,
May-08,"261,466","248,415",,
Jun-08,"257,484","246,701",,
Jul-08,"261,600","245,645",,
Aug-08,"260,609","244,681",,
Sep-08,"239,607","245,948",,
Oct-08,"255,848","246,795",,
Nov-08,"236,465","246,244",,
Dec-08,"241,742","246,829",,
Jan-09,"225,529","245,974",,
Feb-09,"217,643","248,466",,
Mar-09,"249,741","244,904",,
Apr-09,"251,374","247,873",,
May-09,"258,276","246,794",,
Jun-09,"258,395","246,498",,
Jul-09,"264,472","247,534",,
Aug-09,"260,297","246,986",,
Sep-09,"241,970","246,455",,
Oct-09,"252,209","244,074",,
Nov-09,"237,264","246,232",,
Dec-09,"239,593","244,784",,
Jan-10,"220,839","242,519",,
Feb-10,"210,635","241,803",,
Mar-10,"254,238","248,076",,
Apr-10,"253,936","249,112",,
May-10,"256,927","247,042",,
Jun-10,"260,083","247,723",,
Jul-10,"265,315","249,293",,
Aug-10,"263,837","249,208",,
Sep-10,"244,682","249,084",,
Oct-10,"256,395","249,386",,
Nov-10,"239,579","247,614",,
Dec-10,"240,800","245,054",,
Jan-11,"223,790","246,965",,
Feb-11,"213,463","245,208",,
Mar-11,"253,124","246,519",,
Apr-11,"249,578","245,553",,
May-11,"254,083","243,131",,
Jun-11,"258,350","245,757",,
Jul-11,"260,175","245,196",,
Aug-11,"260,526","244,641",,
Sep-11,"242,062","245,393",,
Oct-11,"251,906","245,952",,
Nov-11,"238,535","246,579",,
Dec-11,"244,810","249,896",,
Jan-12,"227,527","249,790",,
Feb-12,"218,196","250,746",,
Mar-12,"256,166","249,737",,
Apr-12,"249,394","246,547",,
May-12,"260,774","248,096",,
Jun-12,"260,376","247,577",,
Jul-12,"260,244","245,308",,
Aug-12,"264,379","246,538",,
Sep-12,"238,867","245,805",,
Oct-12,"253,574","245,176",,
Nov-12,"240,361","247,779",,
Dec-12,"238,709","245,651",,
Jan-13,"229,419","250,411",,
Feb-13,"215,803","249,845",,
Mar-13,"253,026","248,349",,
Apr-13,"252,064","247,844",,
May-13,"263,406","249,071",,
Jun-13,"259,980","249,233",,
Jul-13,"263,946","247,384",,
Aug-13,"268,061","250,869",,
Sep-13,"242,536","249,145",,
Oct-13,"258,748","249,407",,
Nov-13,"240,055","249,394",,
Dec-13,"241,237","245,957",,
Jan-14,"226,413","246,531",,
Feb-14,"213,949","249,499",,
Mar-14,"253,424","251,120",,
Apr-14,"256,736","251,959",,
May-14,"266,237","252,289",,
Jun-14,"263,459","252,054",,
Jul-14,"270,053","252,111",,
Aug-14,"268,831","252,472",,
Sep-14,"247,688","253,485",,
Oct-14,"265,144","254,117",,
Nov-14,"241,451","253,099",,
Dec-14,"252,271","255,291",,
Jan-15,"233,498","254,967",,
Feb-15,"217,220","254,414",,
Mar-15,"258,017","255,735",,
Apr-15,"262,817","257,796",,
May-15,"270,839","257,531",,
Jun-15,"270,574","258,177",,
Jul-15,"278,372","258,012",,
Aug-15,"272,209","259,020",,
Sep-15,"255,090","258,671",,
Oct-15,"268,469","257,672",,
Nov-15,"248,843","260,006",,
Dec-15,"259,424","261,788",,
Jan-16,"239,679","262,611",,
Feb-16,"223,011","261,752",,
Mar-16,"265,147","262,392",,
Apr-16,"269,653","264,735",,
May-16,"277,972","264,565",,
Jun-16,"276,991","264,364",,
Jul-16,"285,160","265,645",,
Aug-16,"279,213","264,145",,
Sep-16,"262,039","263,573",,
Oct-16,"275,610","266,664",,
Nov-16,"255,154","265,314",,
Dec-16,"264,778","267,135",,
Jan-17,"242,600","266,509",,
Feb-17,"225,644","265,234",,
Mar-17,"268,343","265,123",,
Apr-17,"272,864","270,670",,
May-17,"281,264","266,153",,
Jun-17,"280,290","266,376",,
Jul-17,"288,566","269,548",,
Aug-17,"282,558","267,211",,
Sep-17,"265,212","266,506",,
Oct-17,"278,888","268,718",,
Nov-17,"258,159","268,212",,
Dec-17,"267,958","272,319",,
Jan-18,"244,736","268,361",,
Feb-18,"227,759","267,857",,
Mar-18,"270,705","268,556",,
Apr-18,"275,127","273,320",,
May-18,"283,713","267,556",,
Jun-18,"282,648","269,325",,
Jul-18,"290,989","270,452",,
Aug-18,"284,989","267,900",,
Sep-18,"267,434","269,877",,
Oct-18,"281,382","270,155",,
Nov-18,"260,473","269,052",,
Dec-18,"270,370","277,525",,
Jan-19,"248,927","273,421",,
Feb-19,"231,791","272,141",,
Mar-19,"272,379","270,920",,
Apr-19,"273,413","271,928",,
May-19,"289,711","271,676",,
Jun-19,"281,359","269,353",,
Jul-19,"291,520","269,606",,
Aug-19,"293,308","276,508",,
Sep-19,"273,319","274,195",,
Oct-19,"283,961","272,669",,
Nov-19,"260,326","269,800",,
Dec-19,"261,757","269,023",,
Jan-20,"260,847","285,452",,
Feb-20,"242,695","284,040",,
Mar-20,"226,638","224,870",,
Apr-20,"167,617","167,174",,
May-20,"221,006","204,304",,
Jun-20,"250,330","235,771",,
Jul-20,"265,550","242,159",,
Aug-20,"265,060","251,358",,
Sep-20,"257,531","254,995",,
Oct-20,"266,596","255,505",,
Nov-20,"238,300","248,198",,
Dec-20,"241,451","249,061",,
Jan-21,"224,959","252,702",,
Feb-21,"207,160","245,840",,
Mar-21,"262,065","258,686",,
Apr-21,"252,218","256,647",,
May-21,"276,639","261,366",,
Jun-21,"279,209","265,907",,
Jul-21,"288,443","268,899",,
Aug-21,"279,596","263,810",,
Sep-21,"270,461","265,052",,
Oct-21,"277,877","265,589",,
Nov-21,"260,433","267,303",,
Dec-21,"261,028","266,539",,
Jan-22,"234,099","260,912",,
Feb-22,"229,249","266,420",,
Mar-22,"269,447","265,870",,
Apr-22,"255,909","263,742",,
May-22,"280,251","263,242",,
Jun-22,"274,615","261,456",,
Jul-22,"279,314","260,803",,
Aug-22,"281,617","264,906",,
Sep-22,"273,144","266,748",,
Oct-22,"278,063","267,200",,
Nov-22,"257,042","265,081",,
Dec-22,"256,502","263,966",,
Jan-23,"247,479","272,353",,
Feb-23,"233,809","269,948",,
Mar-23,"271,470","267,004",,
Apr-23,"256,123","267,378",,
May-23,"287,219","269,511",,
Jun-23,"282,979","269,089",,
Jul-23,"287,257","270,175",,
Aug-23,"288,314","271,027",,
Sep-23,"275,556","270,260",,
